rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/snow_falling_on_cedars,Snow Falling on Cedars,"Fog as thick and palpable as cotton hangs suspended over San Piedro Island. On the bay, a flickering lantern signals distress from a crippled fishing boat, while elsewhere a freighter lurches blindly through the chalky mist. By morning, sea and sky are clear, but the tranquil village of fisherman and berry farmers will forever be changed. For one man has lost his life, and another -a childhood friend- has been charged with taking it. An investigation is launched. The trial begins.","Though Snow Falling on Cedars is beautiful to look at, critics say the story becomes dull and tedious to sit through.",PG-13,"Drama, Romance",Scott Hicks,"Ronald Bass, Scott Hicks","Ethan Hawke, James Cromwell, Max von Sydow, Youki Kudoh, Rick Yune, James Rebhorn, Sam Shepard, Richard Jenkins, Reeve Carney, Jan Rudes, Anne Suzuki, Arija Bareikis, Eric Thal, Celia Weston, Daniel von Bargen, Akira Takayama, Ako, Cary-Hiroyuki Tagawa, Zak Orth, Max Wright, Caroline Kava, Jan Rubes, Sheila Moore, Zeljko Ivanek, Seiji Inouye, Saemi Nakamura, Mika Fujii, Dwight McFee, Bill Harper, Henry O, Myles Ferguson, Noah Heney, John Destrey, A. Arthur Takemoto, Ken Takemoto, Larry Musser, Jamie Kang, Lili Marshall, Lisa Mena, Jethro Heysen-Hicks, Tom Heaton, Frank C. Turner, Marilyn Norry, Peter Crook, Ron Snyder, Mark Ainsworth Farrell, Jay Brazeau, Tom Scholte, Tim Burd, Gareth Williams, Anthony Harrison, Adam Pospisil, Johnny Brynelsen",12/22/1999,4/19/2016,126,Universal Studios,Rotten,39,92,Upright,68,8242,27,36,56
m/snow_white_a_tale_of_terror,Snow White: A Tale of Terror,An innocent young woman finds refuge from her wicked stepmother (Sigourney Weaver) with seven forest-dwelling outcasts.,,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Michael Cohn,"Thomas Szollosi, Deborah Serra","Sigourney Weaver, Sam Neill, Gil Bellows, Monica Keena, Miroslav Táborský, David Conrad, Taryn Davis, Brian Glover, Frances Cuka, Anthony Brophy, Francis Cuka, Chris Bauer, John Edward Allen, Andrew Tiernan, Bryan Pringle, Dale Wyatt, Joanna Roth",1/1/1997,8/10/2016,101,Universal Pictures,Rotten,55,11,Spilled,57,10942,0,6,5
m/snow_white_and_the_huntsman,Snow White and the Huntsman,"Queen Ravenna (Charlize Theron), who seized control of her kingdom by marrying and killing its rightful ruler, needs the life force of young maidens to maintain her beauty. However, to become truly immortal, Ravenna must consume the heart of her stepdaughter Snow White (Kristen Stewart). Snow escapes, and Ravenna dispatches a huntsman (Chris Hemsworth) to capture her. But Snow, the Huntsman and a rebel army join forces to destroy Ravenna and restore the balance of life and death.","While it offers an appropriately dark take on the fairy tale that inspired it, Snow White and the Huntsman is undone by uneven acting, problematic pacing, and a confused script.",PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",Rupert Sanders,"Hossein Amini, Rupert Sanders, Evan Daugherty, John Lee Hancock","Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin, Sam Spruell, Ian McShane, Bob Hoskins, Eddie Izzard, Ray Winstone, Nick Frost, Eddie Marsan, Toby Jones, Johnny Harris, Brian Gleeson, Peter Ferdinando, Vincent Regan, Liberty Ross, Noah Huntley, Christopher Obi, Lily Cole, Rachael Stirling, Hattie Gotobed, Raffey Cassidy, Xavier Atkins, Anastasia Hille, Izzy Meikle-Small, Elliot Reeve, Mark Wingett, Jamie Blackley, Dave Legeno, Matt Berry, Greg Hicks, Andrew Hawley, Joey Ansah, Gregor Truter, Tom Mullion",6/1/2012,7/31/2015,127,Universal Pictures,Rotten,49,237,Spilled,52,410135,51,117,120
m/sometimes_a_great_notion,Sometimes a Great Notion (Never Give an Inch),A family of independent Oregon loggers refuses to participate in a local strike against the big lumber companies.,,PG,"Action & Adventure, Classics, Drama",Paul Newman,John Gay,"Paul Newman, Henry Fonda, Lee Remick, Michael Sarrazin, Richard Jaeckel, Linda Lawson, Cliff Potts, Sam Gilman, Lee de Broux, Jim Burk, Roy Jenson, Joe Maross, Roy Poole, Charles Tyner, Alan R. Gibbs, Terry J. Leonard, Mickey Gilbert (II), Dick Hudkins, Terry Leonard, Fred Lerner, Gary McLarty, Hal Needham, J.N. Roberts, Dean Smith, Bennie E. Dobbins, Fred Waugh (II), Fred Zendar, Roy Benson",1/1/1971,11/30/2016,114,Universal Pictures,Fresh,100,14,Upright,76,852,6,14,0
m/somewhere_in_time,Somewhere in Time,"In 1972, playwright Richard Collier (Christopher Reeve) becomes fascinated by a photo of Elise McKenna (Jane Seymour), a turn-of-the-century stage actress, while staying at the Grand Hotel in Mackinac Island, Michigan. As Richard's obsession grows, he learns from a friend that time travel may actually be possible through hypnosis. Richard travels in time to meet Elise, and the two appear destined to be together. However, Elise's jealous manager (Christopher Plummer) attempts to keep them apart.",,PG,"Drama, Science Fiction & Fantasy, Romance",Jeannot Szwarc,Richard Matheson,"Jane Seymour, Christopher Reeve, Christopher Plummer, Teresa Wright, Bill Erwin, George Voskovec, Susan French, John Alvin, Eddra Gale, Sean Hayden, Audrey Bennett, Richard Matheson, Laurence Coven, Susan Bugg, Christy Michaels, Ali Marie Matheson, George Wendt, Steve Boomer, Patrick Billingsley, Ted Liss, Francis X. Keefe, William P. O'Hagan, Noreen Walker, Evans Ghiselli, David Hull, Bruce Jarchow, Paul Cook, Ed Meekin, Audrie J. Neenan, Barbara Giovannini, Tim Kazurinsky, Don Franklin, Bob Swan, Victoria Michaels, Michael Woods, William P. O'Hagen, Maud Strand, Bo Clausen, James P. Dunnigan, Hal Frank, Hayden Jones, Val Bettin, Pat Billingsley",10/3/1980,4/19/2016,103,Universal Pictures,Fresh,61,18,Upright,88,32991,5,11,7
m/son_of_frankenstein,Son of Frankenstein,"Baron Wolf von Frankenstein (Basil Rathbone) is determined to prove the legitimacy of his father's scientific work, thus rescuing the family name from disgrace. With the help of Ygor (Bela Lugosi), a grave robber, Wolf successfully reanimates the monster (Boris Karloff) his father originally brought back from the dead. But when several villagers are killed mysteriously, Wolf must find the culprit in order to vindicate his creation, or face the possibility that he may be responsible.",Boris Karloff's final appearance as the Monster is a fitting farewell before the series descended into self-parody.,NR,"Classics, Horror, Science Fiction & Fantasy",Rowland V. Lee,Willis Cooper,"Basil Rathbone, Boris Karloff, Bela Lugosi, Lionel Atwill, Josephine Hutchinson, Donnie Dunagan, Emma Dunn, Edgar Norton, Perry Ivins, Lawrence Grant, Lionel Belmore, Michael Mark, Caroline Cooke, Gustav von Seyffertitz, Edward Cassidy, Tom Ricketts, Carole Cook, Lorimer Johnston, Jack Harris, Betty Chay, Harry Cording, Ward Bond, Bud Wolfe, Dwight Frye, Eddie Parker, Clarence Wilson",1/1/1939,9/11/2015,99,MCA Universal Home Video,Fresh,95,38,Upright,71,3890,8,36,2
m/split_2017,Split,"Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all of the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him -- as well as everyone around him -- as the walls between his compartments shatter.",Split serves as a dramatic tour de force for James McAvoy in multiple roles -- and finds writer-director M. Night Shyamalan returning resoundingly to thrilling form.,PG-13,"Drama, Horror, Mystery & Suspense",M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson, Jessica Sula, Brad William Henke, Izzie Leigh Coffey, Sebastian Arcelus, Neal Huff, Michael Robert Kelly, Ukee Washington, M. Night Shyamalan, Rosemary Howard, Lynn Renee, Peter Patrikios, Kash Goins, Roy Wilson, Christopher Lee Philips, Nakia Dillard, Bruce Winant",1/20/2017,4/5/2017,117,Universal Pictures,Certified-Fresh,77,305,Upright,79,53508,54,234,71
m/spy_game,Spy Game,"Redford stars as CIA operative Nathan Muir, who is on the brink of retirement from the field, when he learns his protégé Tom Bishop has been arrested in China on a charge of espionage. No stranger to the machinations of the CIA's top echelon, Muir hones all his skills and irreverent manner in order to find a way to free Bishop.","The outcome of the kinetic Spy Game is never in doubt, but it is fun watching Robert Redford and Brad Pitt work.",R,"Action & Adventure, Drama, Mystery & Suspense",Tony Scott,"David Arata, Michael Frost Beckner","Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane, Larry Bryggman, Marianne Jean-Baptiste, Matthew Marsh, Todd Boyce, Michael Paul Chan, Garrick Hagon, Andrew Grainger, Bill Buell, Colin Stinton, Ted Maynard, Tom Hodgkins, Rufus Wright, Demetri Goritsas, Quinn Collins, Sam Scudder, Yann Johnson, Pat McGrath, Shane Rimmer, David Hemmings, James Aubrey, In Sook Chappell, Benedict Wong, Ken Leung, Adrian Pang, Ho Yi, David Y. Cheung, Tony Xu, Mark Sung, David K. S. Tse, Logan Wang, Hon Ping Tang, Daniel Tse, Vincent Wang, Mark Chui Han, Stuart Milligan, Joseph Chanet, Eddie Yeoh, Freddie Joe Farnsworth, Joerg Stadler, Zsolt Zágoni, Balazs Tardy, Pal Oberfrank, Géza Schramek, Imre Csuja, Melinda Volgyi, Karoly Rekasi, Kimberly Tufo, Iain Smith, Gregory Groth, Peter Linka, Omid Djalili, Amidou, Nabil Massad, Mohamed Picasso, Aziz Ait Essahmi, Moustapha Moulay, Mohamed Quatib, Raid Regragui, Dale Dye, Tim Briggs, Frank Nall, Ian Porter, Charlotte Rampling, Harry Gregson-Williams",11/21/2001,5/7/2015,127,Universal Pictures,Fresh,66,133,Upright,75,114087,32,88,45
m/stand_by_me_1986,Stand by Me,"After learning that a stranger has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie Lachance (Wil Wheaton), Vern Tessio (Jerry O'Connell), Chris Chambers (River Phoenix) and Teddy Duchamp (Corey Feldman) encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.","Stand By Me is a wise, nostalgic movie with a weird streak that captures both Stephen King's voice and the trials of growing up.",R,"Action & Adventure, Drama",Rob Reiner,"Bruce A. Evans, Raynold Gideon","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland, Richard Dreyfuss, John Cusack, Casey Siemaszko, Gary Riley, Bradley Gregg, Jason Oliver, Marshall Bell, Frances Lee McCain, Bruce Kirby, William Bronder, Scott Beach, Madeleine Swift, Popeye, Geanette Bobst, Art Burke, Matt Williams, Andy Lindberg, Dick Durock, O.B. Babbs, Charlie Owens, Ken Hodges, John Hodges, Susan Thorpe, Scott Korey Pollard, Rick Elliott, Kent Lutrell, Chance Quinn, Jason Naylor",8/8/1986,10/1/2015,89,MCA Universal Home Video,Certified-Fresh,91,56,Upright,94,270300,10,51,5
m/steve_jobs_2015,Steve Jobs,"With public anticipation running high, Apple Inc. co-founders Steve Jobs (Michael Fassbender) and Steve ""Woz"" Wozniak get ready to unveil the first Macintosh in 1984. Jobs must also deal with personal issues related to ex-girlfriend Chrisann Brennan and their young daughter Lisa. Eventually fired, Jobs launches NeXT Inc. and prepares to release a new computer model in 1988. Ten years later, Jobs is back at Apple Inc. and about to revolutionize the industry once again with the iMac.","Like the tech giant co-founded by its subject, Steve Jobs gathers brilliant people to deliver a product whose elegance belies the intricate complexities at its core.",R,Drama,Danny Boyle,Aaron Sorkin,"Michael Fassbender, Kate Winslet, Seth Rogen, Katherine Waterston, Sarah Snook, Jeff Daniels, Michael Stuhlbarg, John Ortiz, Adam Shapiro, Perla Haney-Jardine, Ripley Sobo, Makenzie Moss, Vanessa Ross, Steven Wiig, John Steen, Stan Roth, Mihran Shlougian, Robert Anthony Peters, Noreen Lee, Gail Fenton, Karen Kahn, Rachel Caproni, Lily Tung Crystal, Damara Reilly, Marika Casteel, Dylan Freitas-D'Louhy, Chris Tomasso, John Chovanec, Daniel Liddle, Lora Oliver, Colm O'Riain, Anita Bennett, Greg Mills, Melissa Etezadi, Rick Chambers, Sara Welch, Emmett Miller, Marc Istook, Carlo Cecchetto, Kristina Guerrero, Bill Seward, Mark Mester, Derrin Horton",10/23/2015,9/6/2016,121,Universal Pictures,Certified-Fresh,85,312,Upright,73,42992,61,266,46
m/stick,Stick,"After getting out of jail, car thief Ernest ""Stick"" Stickley (Burt Reynolds) witnesses the murder of his friend Rainy (Jose Perez) during a drug deal. To avoid getting killed by the same thugs, who work for mobster Chucky (Charles Durning), Stick gets a job as a chauffeur for millionaire Barry Braham (George Segal) and lies low. As he gets used to his new routine, Stick woos Barry's financial consultant, Kyle McClaren (Candice Bergen), but must fight back when Chucky's men come after him.",,R,"Action & Adventure, Drama, Mystery & Suspense",Burt Reynolds,"Elmore Leonard, Joseph C. Stinson","Burt Reynolds, Candice Bergen, George Segal, Charles Durning, Jose Perez, Richard Lawson, Castulo Guerra, Dar Robinson, Alex Rocco, David Reynoso, Tricia Leigh Fisher, Sachi Parker, John A. Garcia, Don L. Moyer, Joey Pouliot, Phanie Napoli, Lamar Jackson, Dudley Remus, Don Goldie Orchestra, Jorge Gil, Armand Grossman, Ignacio Menocal, Jesus Menocal, David Cadiente, Carlos Cervantes, Richard L. Duran, Thomas Rosales Jr., Bert Rosario, April Clough, Deanna Lund, Augie Neves, Evie Sands, Lenny Geer, Monica Lewis, John Keller, Bernie Knee, Tommy Mercer, Tim Rossovich",4/26/1985,9/11/2015,109,MCA Universal Home Video,Rotten,29,7,Spilled,36,383,1,2,5
m/sting_2,The Sting II,"A follow-up to the classic original, this film finds con men Fargo Gondorff (Jackie Gleason) and Jake Hooker (Mac Davis) reuniting for another scam. While Hooker matches wits with the seductive Veronica (Teri Garr), she ultimately becomes an ally when the schemers take on their old archrival, Doyle Lonnegan (Oliver Reed), and his fellow shady character, Gus Macalinski (Karl Malden). Hooker poses as a washed-up boxer, and Gondorff and Veronica help to set up the sting.",,PG,Comedy,Jeremy Kagan,"David S. Ward, Dean Riesner, Anthony Shaffer","Jackie Gleason, Mac Davis, Teri Garr, Karl Malden, Oliver Reed, Bert Remsen, Kathalina Veniero, Dan Dalton, Jose Perez, Larry Bishop, Frank McCarthy, Richard Adams, Ron Rifkin, Harry James, Frances Bergen, Monica Lewis, Danie-Wade Dalton, Val Avery, Jill Jaress, Al Robertson, Hank Garrett, Sidney Clute, Bob O'Connell, John Hancock, Larry Hankin, Jerry Whitney, Michael Alldredge, Danny Dayton, Tim Rossovich, Marty Denkin, Rex Pierson, Joe Monte, Carl Gottlieb, David Ankrum, Cynthia Cypert, Tony Giorgio, T. Max Graham, Cassandra Peterson, Ron Stein, Max Wright, Corey Michael Eubanks, Terri Berland, Michael Raden, Bob Minor, Benny Baker, Woodrow Parfrey, Howard Dayton, Bill Caplan, Mel Pape, Guy Way, Paul Willson, Angela Louise Robinson, Timothy Graham",2/18/1983,5/7/2015,102,MCA Universal Home Video,Rotten,0,8,Spilled,29,1404,3,0,8
m/stop_or_my_mom_will_shoot,Stop! Or My Mom Will Shoot,"Smarting from a romantic breakup, macho police Sgt. Joe Bomowski (Sylvester Stallone) gets a cross-country visit from his mother, Tutti (Estelle Getty). Her misguided efforts to help only fray his nerves, but that doesn't stop her from nagging Joe to be more open about his feelings toward his ex-girlfriend and current boss, Lt. Gwen Harper (JoBeth Williams). When Tutti witnesses a brutal multiple murder, she takes her meddling to the extreme by tagging along to help her son solve the case.","Thoroughly witless and thuddingly unfunny, Stop! Or My Mom Will Shoot gives its mismatched stars very little to work with - and as a result, they really don't work.",PG-13,"Action & Adventure, Comedy",Roger Spottiswoode,"Blake Snyder, William Osborne, William Davies, Daniel Petrie Sr.","Sylvester Stallone, Estelle Getty, JoBeth Williams, Roger Rees, Martin Ferrero, Gailard Sartain, John Wesley, Al Fann, Ella Joyce, J. Kenneth Campbell, Dennis Burkley, Jackie Burch, Nicholas Sadler, Jana Arnold, Christopher Collins, Michael A. Lerner, Mark Mikesell, Matthew Powers, Richard Schiff, Brigitta Stenberg, Vanessa Angel, Marjean Holden, Larry Campbell, Shari Ballard, Kimberley LaMarque, Amy Kirkpatrick, J. David Krassner, Patti Yasutake, Joey de Pinto, Norm Compton, Matt Johnston, Allen Michael Lerner, Charles Renneisen, John Sarviss, Roydon E. Clark, Manuel Perry, Jophery C. Brown, J.W. ""Corkey"" Fornof, Ving Rhames, Justin Derosa, Ernie Lively, Manny Perry, Richard Suggett, Art T. Yago, Julia Montgomery, Shelley Hill",2/1/1992,2/12/2014,87,MCA Universal Home Video,Rotten,7,27,Spilled,21,52920,7,2,25
m/story_of_us,The Story of Us,"After 15 years of marriage, Katie (Michelle Pfeiffer) and her husband, Ben (Bruce Willis), have grown apart. While they keep up the facade of having a contented marriage, mostly to not worry their children, they aren't happy together and argue frequently. While the kids are away at camp, Katie and Ben decide to separate and try to reassess their relationship to see if they should stay together or split up for good. Can they find enough that's positive in their marriage to keep it going?",A lack of chemistry between Bruce Willis and Michelle Pfeiffer fatally undermines the dull and predictable Story of Us.,R,"Comedy, Drama, Romance",Rob Reiner,"Alan Zweibel, Jessie Nelson","Bruce Willis, Michelle Pfeiffer, Tim Matheson, Rob Reiner, Rita Wilson, Paul Reiser, Julie Hagerty, Matthew Moreno, Colleen Rennison, Jake Sandvig, Jayne Meadows, Tom Poston, Betty White, Red Buttons, Denise Carbone, Phil Hawn, Bill Kirchenbauer, Jordan Lund, Lucy Webb, Marci Rosenberg, Art Evans, Renee Ridgeley, Ken Lerner, Victor Raider-Wexler, Albert Hague, Alan Zweibel, Adam Zweibel, Jessie Nelson, Tommy Tang, Gu Yaping, James J. Ritz, Casey Boersma, Dylan Boersma, Daniel Henson, Tara Blanchard, Ryan Townsend, Michael Chapman, Robert Alan Beuth",10/15/1999,8/10/2016,94,Universal Pictures,Rotten,26,117,Spilled,58,30691,41,31,86
m/straight_outta_compton,Straight Outta Compton,"In 1988, a groundbreaking new group revolutionizes music and pop culture, changing and influencing hip-hop forever. N.W.A's first studio album, ""Straight Outta Compton,"" stirs controversy with its brutally honest depiction of life in Southern Los Angeles. With guidance from veteran manager Jerry Heller, band members Ice Cube (O'Shea Jackson Jr.), Dr. Dre (Corey Hawkins), Eazy-E, DJ Yella and MC Ren navigate their way through the industry, acquiring fame, fortune and a place in history.","Straight Outta Compton is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast.",R,"Drama, Musical & Performing Arts",F. Gary Gray,"Jonathan Herman, Andrea Berloff","O'Shea Jackson, Jr., Corey Hawkins, Jason Mitchell, Aldis Hodge, Neil Brown, Jr., Paul Giamatti, Carra Patterson, Elena Goode, Alexandra Shipp, Keith Powers, Marlon Yates, Jr., R. Marcos Taylor, Joshua Brockington, Sheldon Smith, LaKeith Stanfield, Cleavon McClendon, Aeriel Miranda, Lisa Renee Pitts, Angela Gibbs, Bruce Beatty, Rogelio Douglas, Jr., Corey Reynolds, Tate Ellington, F. Gary Gray, Allen Maldonado, Demetrius Grosse, Marcc Rose, Andrew Borba, Mark Sherman, Matt Corboy, Larry Sullivan, Russell Andrews, Deborah Lacey, Michael ""Compton Menace"" Taylor, Ashton Sanders, Joshua Geter, Kofi Siriboe, Orlando Brown, Matthew Boylan, Chic Daniel, Tim Connolly, Cris D'Annunzio, Dan Wells, Justin Goslee, Al Wexo, Marcus Callender, Vaughn Wilkinson, Dean Cameron, Mark Thomas Holguin, Sky Soleil, Inny Clemons, Jody Burks, Asia'h Epperson, Scott Endicott, Greg Collins, Rob Brownstein, Water L, Nigel Lawes, William LaDawn English, Lazarus Guidry, Ariel Rogers, Lafrazia D. Knighten, Ashley Stepteau, Christian Brown, Ebony Randall, John Prosky, Derrick McMillon, Le Sean Tarkington, Rob Nagle, Travis Nicholson, Todd Quillen, Matthew Downs, Leo Stallworth, Joy Benedict, David L. Cox, Thomas Q. Jones, Toni Duclottni, Phedra Syndelle, Valerie Emanuel, Spencer Melville, Michael W. Broomer, Zee James, Natasha Hopkins, Simon Rhee",8/14/2015,9/6/2016,147,Universal Pictures,Certified-Fresh,89,245,Upright,85,110,53,217,28
m/strange_affair_of_uncle_harry,The Strange Affair of Uncle Harry (Guilty of Murder?),Mad Harry (George Sanders) poisons his bad sister's (Geraldine Fitzgerald) cocoa; his good sister drinks it.,,NR,"Classics, Drama, Mystery & Suspense",Robert Siodmak,"Keith Winter, Stephen Longstreet","George Sanders, Geraldine Fitzgerald, Moyna MacGill, Ella Raines, Sara Allgood, Samuel S. Hinds, Harry von Zell, Ethel Griffies, Judy Clark, Craig Reynolds, Will Wright, Arthur Loft, Irene Tedrow, Coulter Irwin, Ruth Cherrington, Clarence G. Badger, Scott Wallace, Sarah Selby, Dawn Bender, Rodney Bell, Harry Hayden, Holmes Herbert, William Hall, Matt McHugh, Harlan Briggs, Barbara Pepper, Robert Malcolm Young, Robert Dudley, Walter Soderling, Rev. Neal Dodd, Fred Santley, Bob McKenzie, Frank Jaquet, Gregory Muradian, Billy Gray, Bill Henderson, Alan Watson, Jan Williams",8/17/1945,10/1/2015,80,Universal Pictures,Fresh,80,5,Upright,65,85,1,4,1
m/streets_of_fire,Streets of Fire,"Raven Shaddock (Willem Dafoe), along with his gang of merciless biker friends, kidnaps rock singer Ellen Aim (Diane Lane). Ellen's former lover, soldier-for-hire Tom Cody (Michael Paré), happens to be passing through town on a visit. In an attempt to save his star act, Ellen's manager, Billy Fish (Rick Moranis), hires Tom to rescue Ellen. Billy and Tom, along with former soldier McCoy (Amy Madigan), battle through dangerous cityscapes, determined to get Ellen back.","Streets of Fire may sometimes buckle under the strain of its ambitious fusion of disparate genres, but Walter Hill's bravura style gives this motorcycle musical fuel to burn.",PG,"Action & Adventure, Drama, Musical & Performing Arts",Walter Hill,"Walter Hill, Larry Gross, Mardik Martin","Michael Paré, Diane Lane, Rick Moranis, Amy Madigan, Willem Dafoe, Deborah Van Valkenburgh, Richard Lawson, Rick Rossovich, Bill Paxton, Lee Ving, Stoney Jackson, Grand L. Bush, Robert Townsend, Mykelti Williamson, Elizabeth Daily, Lynne Thigpen, Marine Jahan, Ed Begley Jr., John Dennis Johnston, Harry Beer, William Bateman, Olivia Brown, Kip Waldo, Peter Jason, The Blasters, Matthew Laurance, Sarah Marten, Tamu Blackwell, Richard Rimo Moreno, Antonie Becker, Elizabeth Jordan, Susan Cheung, Michael Rooker, Vicki McCarthy, John Hateley, Rock Walker, Phil Alvin, Dave Alvin, John Bazz, Bill Bateman, Gene Taylor, Lee Allen, Steve Berlin, Paul Mones, Vince Deadrick, Paul Lane, Bernie Pock, Spiro Razatos, Jeff Smolek, William Beard II, Stuart Kimbell, John Ryder, Angelo, Ric Moreno, Antoine Becker, Susan Cheng, Vicki McCarty, John Hately, Rock A. Walker, Vince Deadrick Jr., Paul M. Lane",6/1/1984,9/11/2015,98,MCA Universal Home Video,Fresh,67,24,Upright,70,8615,1,16,8
m/stretch_2014,Stretch,A limo driver (Patrick Wilson) goes for the ride of his life when he shuttles a mysterious billionaire around Hollywood.,,R,"Action & Adventure, Comedy, Mystery & Suspense",Joe Carnahan,"Joe Carnahan, Jerry Corley, Rob Rosell","Patrick Wilson, Chris Pine, James Badge Dale, Jessica Alba, Brooklyn Decker, Ed Helms, Norman Reedus, Mindy Robinson, Ray Liotta, Jacqui Holland, Erika Jordan, Anne McDaniels, Cassandra Starr, Eddie Fernandez, Eddie J. Fernandez, Matthew Willig, Ahman Green",3/21/2014,10/7/2014,102,Universal Pictures,Fresh,88,16,Upright,63,2509,2,14,2
m/sydney_white,Sydney White,"College freshman Sydney White (Amanda Bynes) arrives at Southern Atlantic University, determined to pledge her late mother's sorority. Unfortunately, she finds that the sisterhood has changed since her parent's day. Banished to a condemned house, Sydney joins forces with seven outcasts to take over the student government and win equal rights for nerd and noted alike.","Amanda Bynes is charming, but Sydney White is a poorly adapted take on Snow White, relying on tired ethnic stereotypes laughs.",PG-13,Comedy,Joe Nussbaum,Chad Gomez Creasey,"Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter, Jeremy Howard, Crystal Hunt, Adam Hendershott, Danny Strong, Samm Levine, Libby Mintz, John Schneider, Dante Bonner, Arnie Pantoja, Donté Bonner, Brian Patrick Clarke, Lauren Leech, Cree Ivey, Ashley Eckstein, Lisandra Vazquez, Chris Carberg, Kierstin Koppel, Jeff Chase, Jo Beth Locklear, Tait Moline, Adam Vernier, Carlos Navarro, Nadine Avola, David Skyler, Phyllis Fludd White, Arielle Grace, Jennifer Skidmore, Pixee Wales, Susie Abromeit, Evan Todd",9/21/2007,2/12/2014,108,Universal Pictures,Rotten,35,85,Upright,70,789554,25,30,55
m/tale_of_despereaux,The Tale of Despereaux,"Once a thriving place of sunshine and delicious soup, the faraway kingdom of Dor has fallen into sadness. An accident leaves the king brokenhearted; the sunshine fades, and the soup disappears Into this world is born Despereaux (Matthew Broderick), a book-loving mouse and friend to Princess Pea (Emma Watson). When Pea is kidnapped, Despereaux must find a knight's brave heart within his tiny body and rescue his friend.","Despite its striking visuals, The Tale of Despereaux as a story feels familiar and unimaginative.",G,"Action & Adventure, Animation, Comedy, Kids & Family",,"Will McRobb, Chris Viscardi","Richard Jenkins, Christopher Lloyd, Charles Shaughnessy, James Nesbitt, Sigourney Weaver",12/19/2008,7/6/2016,94,Universal Pictures,Rotten,57,110,Spilled,44,163704,34,63,47
m/tales_from_the_crypt_presents_bordello_of_blood,Tales from the Crypt Presents Bordello of Blood,"After her troublemaking brother, Caleb (Corey Feldman), goes missing, Katherine Verdoux (Erika Eleniak) seeks the services of sarcastic private investigator Rafe Guttman (Dennis Miller) to track the errant youth down. Rafe eventually determines that Caleb is in the thrall of Lilith (Angie Everhart), a powerful vampire who operates a seedy brothel. When Rafe and Katherine set out to rescue Caleb, they must contend with the lethal Lilith and her evil minions.","Bordello of Blood is not as scary or funny as it thinks it is (or should've been), and all of Dennis Miller's lines sound like castoffs from his stand-up material.",R,"Comedy, Horror",Gilbert Adler,"Robert Zemeckis, A.L. Katz, Gilbert Adler, Bob Gale","Angie Everhart, Dennis Miller, Erika Eleniak, Chris Sarandon, Corey Feldman, Aubrey Morris, Phil Fondacaro, William Sadler, Ciara Hunter, Leslie Ann Phillips, Juliet Reagh, John Kassir, Eli Gabay, Matt Hill, Eric Keenleyside, Kim Kondrashoff, Robert Paul Munic, Gary Starr, Robin Douglas, Dorian Joe Clark, Ravinder Toor, Robert Rozen, Jen Jasey, Heather Hanson, Sibel Thrasher, Tom Pickett, Topaz Hasfal-Schou, Lovie Eli, Korrine St. Onge, Claire Marie Harvey, Lyne Hachey, Sheena Galloway, Kikka Ferguson, Melody Tinesa Cherpaw, Sheila Mills, Natalie Ross, Angela Nesbitt-Dufort, Gloria Roy, Maria Marhoffer-Bains, Whoopi Goldberg",8/16/1996,5/23/2016,87,Universal Studios,Rotten,15,34,Spilled,31,33972,7,5,29
